cod_produto,cod_categoria,ean,plu,nome_produto,setor_gerenciado,setor_produto,sub_categoria,segmento,sub_segmento,fabricante,fabricante_varejista,marca,marca_verejista,marca_res,marca_detalhada,atributo,embalagem,unid_medida,tamanho_unidade,tamanho_total,tamanho_range,se_oferta,qtd_itens,dcr_oferta,desc_a,subst x culinario,desc_c,desc_d,desc_e,desc_f,desc_g,desc_h
10,1,10,,ADOÇANTE LINEA SUCRALOSE LIQUIDO 25ML x LMPM,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,LIQUIDO,,ML,25.0,25.0,ATE 80,PROMOCAO,0.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) LQD 25 ML PRMC LINEA
11,1,11,,ADOÇANTE LINEA SUCRALOSE LIQUIDO 75ML x LMPM,GERENCIADO,SUCRALOSE,ARTIFICIAL,LIQUIDO,LIQUIDO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,LIQUIDO,,ML,75.0,75.0,ATE 80,PROMOCAO,0.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) LQD 75 ML PRMC LINEA
12,1,12,,"ADOÇANTE ADOCYL SACARINA PO 0,06G x100 REGULAR",GERENCIADO,SACARINA,ARTIFICIAL,PO,PO,HYPERA,HYPERA,ADOCYL,ADOCYL,ADOCYL,ADOCYL,SACHE,,G,0.06,6.0,ATE 80,REGULAR,100.0,,,SACARINA,,,,,,(SCRN/CCL/SP) CMPRMD 100 CMPR N PRMC ADOCYL
13,1,13,,"ADOÇANTE FINN ASPARTAME PO 0,8G x100 LMPM",GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,HYPERA,HYPERA,FINN,FINN,FINN,FINN,SACHE,,G,0.8,80.0,ATE 80,PROMOCAO,100.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 100 ENV PRMC FINN
14,1,14,,ADOÇANTE ZERO CAL ASPARTAME PO G x40 REGULAR,GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,HYPERA,HYPERA,ZERO CAL,ZERO CAL,ZERO CAL,ZERO CAL,SACHE,,G,0.0,0.0,ATE 80,REGULAR,40.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 40 ENV N PRMC ZERO CAL
15,1,15,,ADOÇANTE OUTRAS MARCAS OUTRAS SUBST LIQUIDO 330ML x1 REGULAR,GERENCIADO,OUTRAS SUBST,ARTIFICIAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,330.0,330.0,101 ACIMA,REGULAR,1.0,,,OUTRAS SUBST,,,,,,FRTS (SCRN/CCL/FRT) LQD 330 ML N PRMC OUTRA MARCA
16,1,16,,ADOÇANTE DOCE MENOR OUTRAS SUBST PO 250G x1 REGULAR,GERENCIADO,OUTRAS SUBST,ARTIFICIAL,PO,PO,WOW NUTRITION,OUTRO FAB,DOCE MENOR,OUTRAS MARCAS,OUTRAS MARCAS,DOCE MENOR,POTE,,G,250.0,250.0,101 ACIMA,REGULAR,1.0,,,OUTRAS SUBST,,,,,,FRTS (SCRN/CCL/FRT) P 250 G N PRMC DOCE MENOR
17,1,17,,ADOÇANTE LOWCUCAR OUTRAS SUBST PO 500G x1 REGULAR,GERENCIADO,OUTRAS SUBST,ARTIFICIAL,PO,PO,LIGHTSWEET,OUTRO FAB,LOWCUCAR,OUTRAS MARCAS,OUTRAS MARCAS,LOWCUCAR,BAG,,G,500.0,500.0,101 ACIMA,REGULAR,1.0,,,OUTRAS SUBST,,,,,,FRTS (SCRN/CCL/FRT) P 500 G N PRMC LOWCUCAR
18,1,18,,ADOÇANTE OUTRAS MARCAS OUTRAS SUBST PO 1000G x1 REGULAR,GERENCIADO,OUTRAS SUBST,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,BAG,,G,1000.0,1000.0,101 ACIMA,REGULAR,1.0,,,OUTRAS SUBST,,,,,,S/CCR(S/SCRS) OTR TP P 1000 G N PRMC OUTRA MARCA
19,1,19,,ADOÇANTE OUTRAS MARCAS OUTRAS SUBST PO G x50 REGULAR,GERENCIADO,OUTRAS SUBST,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,SACHE,,G,0.0,0.0,ATE 80,REGULAR,50.0,,,OUTRAS SUBST,,,,,,S/CCR(S/SCRS) OTR TP P 50 ENV N PRMC OUTRA MARCA
20,1,20,,ADOÇANTE OUTRAS MARCAS OUTRAS SUBST PO 500G x1 REGULAR,GERENCIADO,OUTRAS SUBST,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,BAG,,G,500.0,500.0,101 ACIMA,REGULAR,1.0,,,OUTRAS SUBST,,,,,,S/CCR(S/SCRS) OTR TP P 500 G N PRMC OUTRA MARCA
21,1,21,,ADOÇANTE FINN SUCRALOSE PO G x100 LMPM,GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,HYPERA,HYPERA,FINN,FINN,FINN,FINN,SACHE,,G,0.0,0.0,ATE 80,PROMOCAO,100.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 100 ENV PRMC FINN
22,1,22,,ADOÇANTE ADOCYL SUCRALOSE PO 150G x1 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,HYPERA,HYPERA,ADOCYL,ADOCYL,ADOCYL,ADOCYL,POTE,,G,150.0,150.0,101 ACIMA,REGULAR,1.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 150 G N PRMC ADOCYL
23,1,23,,ADOÇANTE FINN SUCRALOSE PO G x50 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,HYPERA,HYPERA,FINN,FINN,FINN,FINN,SACHE,,G,0.0,0.0,ATE 80,REGULAR,50.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 50 ENV N PRMC FINN
24,1,24,,ADOÇANTE ZERO CAL SUCRALOSE PO G x50 LMPM,GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,HYPERA,HYPERA,ZERO CAL,ZERO CAL,ZERO CAL,ZERO CAL,SACHE,,G,0.0,0.0,ATE 80,PROMOCAO,50.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 50 ENV PRMC ZERO CAL
25,1,25,,ADOÇANTE ASSUGRIN SACARINA LIQUIDO 100ML x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,LIQUIDO,LIQUIDO,WOW NUTRITION,OUTRO FAB,ASSUGRIN,OUTRAS MARCAS,OUTRAS MARCAS,ASSUGRIN,LIQUIDO,,ML,100.0,100.0,81 A 100,REGULAR,1.0,,,SACARINA,,,,,,SCRN (CCL/SC) LQD 100 ML N PRMC ASSUGRIN
26,1,26,,ADOÇANTE MAGRO SACARINA LIQUIDO 110ML x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,LIQUIDO,LIQUIDO,LIGHTSWEET,OUTRO FAB,MAGRO,OUTRAS MARCAS,OUTRAS MARCAS,MAGRO,LIQUIDO,,ML,110.0,110.0,101 ACIMA,REGULAR,1.0,,,SACARINA,,,,,,SCRN (CCL/SC) LQD 110 ML N PRMC MAGRO PLAN
27,1,27,,ADOÇANTE DOCE MENOR OUTRAS SUBST LIQUIDO 200ML x1 REGULAR,GERENCIADO,OUTRAS SUBST,ARTIFICIAL,LIQUIDO,LIQUIDO,WOW NUTRITION,OUTRO FAB,DOCE MENOR,OUTRAS MARCAS,OUTRAS MARCAS,DOCE MENOR,LIQUIDO,,ML,200.0,200.0,101 ACIMA,REGULAR,1.0,,,OUTRAS SUBST,,,,,,S/CCR(S/SCRS) OTR TP LQD 200 ML N PRMC DOCE MENOR
28,1,28,,ADOÇANTE TAL E QUAL FORNO E FOGAO SACARINA CULINARIO 66G x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,PO,CULINARIO,WOW NUTRITION,OUTRO FAB,TAL E QUAL,OUTRAS MARCAS,OUTRAS MARCAS,TAL E QUAL,CULINARIO,,G,66.0,66.0,ATE 80,REGULAR,1.0,,,CULINARIO,,,,,,SCRN (CCL/SC) P 66 G N PRMC TAL E QUAL
29,1,29,,ADOÇANTE GOLD STEVIA LIQUIDO 65ML x1 REGULAR,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,GOLD NUTRITION,OUTRO FAB,GOLD,GOLD,GOLD,GOLD,LIQUIDO,,ML,65.0,65.0,ATE 80,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 65 ML N PRMC GOLD
30,1,30,,ADOÇANTE MAGRO PLAN STEVIA LIQUIDO 80ML x1 REGULAR,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,LIGHTSWEET,OUTRO FAB,MAGRO,OUTRAS MARCAS,OUTRAS MARCAS,MAGRO,LIQUIDO,,ML,80.0,80.0,ATE 80,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 80 G N PRMC MAGRO PLAN
31,1,31,,ADOÇANTE MAGRO PLAN STEVIA LIQUIDO 80ML x1 REGULAR,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,LIGHTSWEET,OUTRO FAB,MAGRO,OUTRAS MARCAS,OUTRAS MARCAS,MAGRO,LIQUIDO,,ML,80.0,80.0,ATE 80,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 80 ML N PRMC MAGRO PLAN
32,1,32,,"ADOÇANTE GOLD PREMIUM SWEET STEVIA PO 0,6G x50 REGULAR",GERENCIADO,STEVIA,NATURAL,PO,PO,GOLD NUTRITION,OUTRO FAB,GOLD,GOLD,GOLD,GOLD,SACHE,,G,0.6,30.0,ATE 80,REGULAR,50.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 50 ENV N PRMC GOLD
33,1,33,,ADOÇANTE DOCE MENOR SACARINA LIQUIDO 200ML x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,LIQUIDO,LIQUIDO,WOW NUTRITION,OUTRO FAB,DOCE MENOR,OUTRAS MARCAS,OUTRAS MARCAS,DOCE MENOR,LIQUIDO,,ML,200.0,200.0,101 ACIMA,REGULAR,1.0,,,SACARINA,,,,,,SCRN (CCL/SC) LQD 200 ML N PRMC DOCE MENOR
34,1,34,,ADOÇANTE LOWCUCAR STEVIA PO G x50 REGULAR,GERENCIADO,STEVIA,NATURAL,PO,PO,LIGHTSWEET,OUTRO FAB,LOWCUCAR,OUTRAS MARCAS,OUTRAS MARCAS,LOWCUCAR,SACHE,,G,0.0,0.0,ATE 80,REGULAR,50.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 50 ENV N PRMC LOWCUCAR
35,1,35,,ADOÇANTE MAGRO PLAN STEVIA PO 500G x1 REGULAR,GERENCIADO,STEVIA,NATURAL,PO,PO,LIGHTSWEET,OUTRO FAB,MAGRO,OUTRAS MARCAS,OUTRAS MARCAS,MAGRO,BAG,,G,500.0,500.0,101 ACIMA,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 500 G N PRMC MAGRO PLAN
36,1,36,,ADOÇANTE TAL E QUAL FORNO E FOGAO SACARINA CULINARIO 133G x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,PO,CULINARIO,WOW NUTRITION,OUTRO FAB,TAL E QUAL,OUTRAS MARCAS,OUTRAS MARCAS,TAL E QUAL,CULINARIO,,G,133.0,133.0,101 ACIMA,REGULAR,1.0,,,CULINARIO,,,,,,SCRN (CCL/SC) P 133 G N PRMC TAL E QUAL
37,1,37,,ADOÇANTE TAL E QUAL FORNO E FOGAO SACARINA CULINARIO 500G x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,PO,CULINARIO,WOW NUTRITION,OUTRO FAB,TAL E QUAL,OUTRAS MARCAS,OUTRAS MARCAS,TAL E QUAL,CULINARIO,,G,500.0,500.0,101 ACIMA,REGULAR,1.0,,,CULINARIO,,,,,,SCRN (CCL/SC) P 500 G N PRMC TAL E QUAL
38,1,38,,ADOÇANTE TAL E QUAL FORNO E FOGAO SACARINA CULINARIO 60G x1 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,PO,CULINARIO,WOW NUTRITION,OUTRO FAB,TAL E QUAL,OUTRAS MARCAS,OUTRAS MARCAS,TAL E QUAL,CULINARIO,,G,60.0,60.0,ATE 80,REGULAR,1.0,,,CULINARIO,,,,,,SCRN (CCL/SC) P 60 G N PRMC TAL E QUAL
39,1,39,,"ADOÇANTE UNIAO SUCRALOSE PO 0,6G x400 REGULAR",GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,CAMIL,OUTRO FAB,UNIAO,OUTRAS MARCAS,OUTRAS MARCAS,UNIAO,SACHE,,G,0.6,240.0,101 ACIMA,REGULAR,400.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 400 ENV N PRMC UNIAO
40,1,40,,"ADOÇANTE UNIAO SUCRALOSE PO 0,6G x1000 REGULAR",GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,CAMIL,OUTRO FAB,UNIAO,OUTRAS MARCAS,OUTRAS MARCAS,UNIAO,SACHE,,G,0.6,600.0,101 ACIMA,REGULAR,1000.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 1000 ENV N PRMC UNIAO
45,1,45,,"ADOÇANTE IN NATURA SUCRALOSE PO 0,8G x50 REGULAR",GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,IN NATURA,OUTRAS MARCAS,OUTRAS MARCAS,IN NATURA,SACHE,,G,0.8,40.0,ATE 80,REGULAR,50.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 50 ENV N PRMC IN NATURA
46,1,46,,ADOÇANTE LOWCUCAR SOSTEVIA STEVIA LIQUIDO 25ML x- LMPM,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,LIGHTSWEET,OUTRO FAB,SOSTEVIA,OUTRAS MARCAS,OUTRAS MARCAS,SOSTEVIA,LIQUIDO,,ML,25.0,25.0,ATE 80,PROMOCAO,0.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 25 ML PRMC SOSTEVIA
47,1,47,,ADOÇANTE LOWCUCAR SOSTEVIA STEVIA LIQUIDO 80ML x- LMPM,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,LIGHTSWEET,OUTRO FAB,SOSTEVIA,OUTRAS MARCAS,OUTRAS MARCAS,SOSTEVIA,LIQUIDO,,ML,80.0,80.0,ATE 80,PROMOCAO,0.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 80 ML PRMC SOSTEVIA
48,1,48,,ADOÇANTE LOWCUCAR SOSTEVIA STEVIA PO 150G x1 REGULAR,GERENCIADO,STEVIA,NATURAL,PO,PO,LIGHTSWEET,OUTRO FAB,SOSTEVIA,OUTRAS MARCAS,OUTRAS MARCAS,SOSTEVIA,POTE,,G,150.0,150.0,101 ACIMA,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 150 G N PRMC SOSTEVIA
50,1,50,,ADOÇANTE OUTRA MARCA STEVIA PO -G x- REGULAR,GERENCIADO,STEVIA,NATURAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,SACHE,,G,0.0,40.0,ATE 80,REGULAR,0.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 40 G N PRMC OUTRA MARCA
51,1,51,,ADOÇANTE OUTRA MARCA STEVIA PO -G x- REGULAR,GERENCIADO,STEVIA,NATURAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,SACHE,,G,0.0,60.0,ATE 80,REGULAR,0.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 60 G N PRMC OUTRA MARCA
52,1,52,,ADOÇANTE OUTRA MARCA STEVIA PO -G x50 REGULAR,GERENCIADO,STEVIA,NATURAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,SACHE,,G,0.0,0.0,ATE 80,REGULAR,50.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 50 ENV N PRMC OUTRA MARCA
53,1,53,,ADOÇANTE OUTRA MARCA STEVIA PO 150G x- REGULAR,GERENCIADO,STEVIA,NATURAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,POTE,,G,150.0,150.0,101 ACIMA,REGULAR,0.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 150 G N PRMC OUTRA MARCA
54,1,54,,ADOÇANTE OUTRA MARCA STEVIA PO 180G x- REGULAR,GERENCIADO,STEVIA,NATURAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,POTE,,G,180.0,180.0,101 ACIMA,REGULAR,0.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 180 G N PRMC OUTRA MARCA
55,1,55,,ADOÇANTE OUTRA MARCA STEVIA PO 300G x- REGULAR,GERENCIADO,STEVIA,NATURAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,POTE,,G,300.0,300.0,101 ACIMA,REGULAR,0.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 300 G N PRMC OUTRA MARCA
56,1,56,,ADOÇANTE OUTRA MARCA STEVIA LIQUIDO 100ML x1 REGULAR,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,100.0,100.0,81 A 100,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 100 ML N PRMC OUTRA MARCA
57,1,57,,ADOÇANTE OUTRA MARCA STEVIA LIQUIDO 200ML x1 REGULAR,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,200.0,200.0,101 ACIMA,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 200 ML N PRMC OUTRA MARCA
58,1,58,,ADOÇANTE OUTRA MARCA STEVIA LIQUIDO 60ML x1 REGULAR,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,60.0,60.0,ATE 80,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 60 ML N PRMC OUTRA MARCA
59,1,59,,ADOÇANTE OUTRA MARCA STEVIA LIQUIDO 75ML x1 REGULAR,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,75.0,75.0,ATE 80,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 75 ML N PRMC OUTRA MARCA
60,1,60,,ADOÇANTE OUTRA MARCA STEVIA LIQUIDO 80ML x1 REGULAR,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,80.0,80.0,ATE 80,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 80 ML N PRMC OUTRA MARCA
61,1,61,,ADOÇANTE OUTRA MARCA STEVIA LIQUIDO 90ML x1 REGULAR,GERENCIADO,STEVIA,NATURAL,LIQUIDO,LIQUIDO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,LIQUIDO,,ML,90.0,90.0,81 A 100,REGULAR,1.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST LQD 90 ML N PRMC OUTRA MARCA
62,1,62,,ADOÇANTE OUTRA MARCA SACARINA PO -G x100 REGULAR,GERENCIADO,SACARINA,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,SACHE,,G,0.0,0.0,ATE 80,REGULAR,100.0,,,SACARINA,,,,,,(SCRN/CCL/SCR/ST CMPRMD 100 CMPR N PRMC OUTRA MARCA
63,1,63,,ADOÇANTE OUTRA MARCA SUCRALOSE PO -G x50 REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,SACHE,,G,0.0,0.0,ATE 80,REGULAR,50.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 50 ENV N PRMC OUTRA MARCA
64,1,64,,ADOÇANTE OUTRA MARCA SUCRALOSE PO -G x- REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,SACHE,,G,0.0,100.0,81 A 100,REGULAR,0.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 100 G N PRMC OUTRA MARCA
65,1,65,,ADOÇANTE OUTRA MARCA SUCRALOSE PO 250G x- REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,POTE,,G,250.0,250.0,101 ACIMA,REGULAR,0.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 250 G N PRMC OUTRA MARCA
66,1,66,,ADOÇANTE OUTRA MARCA SUCRALOSE PO 300G x- REGULAR,GERENCIADO,SUCRALOSE,ARTIFICIAL,PO,PO,OUTRO FAB,OUTRO FAB,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,OUTRAS MARCAS,POTE,,G,300.0,300.0,101 ACIMA,REGULAR,0.0,,,SUCRALOSE,,,,,,SCRLS (SCRN/CCL/SCR) P 300 G N PRMC OUTRA MARCA
