cod_produto,cod_categoria,ean,plu,nome_produto,setor_gerenciado,setor_produto,sub_categoria,segmento,sub_segmento,fabricante,fabricante_varejista,marca,marca_verejista,marca_res,marca_detalhada,atributo,embalagem,unid_medida,tamanho_unidade,tamanho_total,tamanho_range,se_oferta,qtd_itens,dcr_oferta,desc_a,desc_b,desc_c,desc_d,desc_e,desc_f,desc_g,desc_h
74335,3,74335,,ASEPXIA GEN SERUM FAC 30ML,GERENCIADO,FACE CARE MASSIVO,HIDRATACAO,HIDRATACAO ROSTO,SERUM,GENOMMA LABORATORIES DO BRASIL LTDA  ,DEMAIS FAB,ASEPXIA,DEMAIS MARCAS,CONCORRENTES,-,-,CONTA GOTAS,ML,30.0,30.0,ATE 50,REGULAR,1,REGULAR,ITENS FARMA PAGUE MENOS,ATE 50,,,,,,
83240,3,83240,83240.0,LOCAO HIDRATANTE CORPORA NEUTROGENA BODY CARE BALANCE 200ML,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,CREME,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS P/ SAUDE LTDA,DEMAIS FAB,NEUTROGENA,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,200.0,200.0,101 A 200,REGULAR,1,REGULAR,ITENS DPSP,101 A 200,,,,,,
116641,3,116641,,FOLHAS DE NEEM PA:2426,GERENCIADO,FACE CARE DERMO,ROSACEA,ROSACEA,PO,OPENEEM,DEMAIS FAB,OPENEEM,DEMAIS MARCAS,CONCORRENTES,-,-,SACHE,-,,,-,REGULAR,1,REGULAR,RAIA AJUSTAR,-,,,,,,
185787,3,185787,185787.0,PROTETOR SOLAR NEUTROGENA FRESH COOLING FPS30 141ML,NAO GERENCIADO,BODY CARE DERMATO,SOLAR,SOLAR,CREME,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS P/ SAUDE LTDA,DEMAIS FAB,NEUTROGENA,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,141.0,141.0,101 A 200,REGULAR,1,REGULAR,ITENS DPSP,101 A 200,,,,,,
203149,3,203149,203149.0,LOCAO HIDRATANTE PARA PES RESSACADOS NEUTROGENA NORWEGIAN 56GR,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,-,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS P/ SAUDE LTDA,DEMAIS FAB,NEUTROGENA,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,G,56.0,56.0,51 A 80,REGULAR,1,REGULAR,ITENS DPSP,51 A 80,,,,,,
276766,3,276766,,KIT LOCAO CLEAN CLEAR ADSTRINGENTE MAIS SABONETE ESFOLIANTE,GERENCIADO,FACE CARE MASSIVO,LIMPEZA PELE,LIMPEZA OUTROS,LOCAO,CLEAN CLEAR,DEMAIS FAB,CLEAN CLEAR,DEMAIS MARCAS,CONCORRENTES,-,-,KIT,ML,100.0,300.0,201 ACIMA,PROMO,2,KIT,ITENS DPSP,201 ACIMA,,,,,,
281549,3,281549,,KIT LOCAO CLEAN CLEAR ADSTRINGENTE MAIS CREME ESFOLIANTE,GERENCIADO,FACE CARE MASSIVO,ACNE,ACNE LIMPEZA,LOCAO,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS P/ SAUDE LTDA,DEMAIS FAB,CLEAN&CLEAR,DEMAIS MARCAS,CONCORRENTES,-,-,KIT,ML,300.0,300.0,201 ACIMA,PROMO,2,KIT,ITENS DPSP,201 ACIMA,,,,,,
310603,3,310603,,LEITE HIDRATANTE CORPORAL LOCCITANE VERBENA 250ML,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,CREME,LOCCITANE DO BRASIL S/A,DEMAIS FAB,LOCCITANE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,250.0,250.0,201 ACIMA,REGULAR,1,REGULAR,ITENS DPSP,201 ACIMA,,,,,,
376388,3,376388,376388.0,PROTETOR SOLAR NEUTROGENA SUN FRESH WET SKIN AEROSOL FPS50 180ML,NAO GERENCIADO,BODY CARE DERMATO,SOLAR,SOLAR,-,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS P/ SAUDE LTDA,DEMAIS FAB,NEUTROGENA,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,180.0,180.0,101 A 200,REGULAR,1,REGULAR,ITENS DPSP,101 A 200,,,,,,
388176,3,388176,,NEUTROGENA HID:1184201,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,CREME,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS P/ SAUDE LTDA,DEMAIS FAB,NEUTROGENA,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,G,100.0,100.0,81 A 100,REGULAR,1,REGULAR,ITENS RAIA,81 A 100,,,,,,
389374,3,389374,,KIT LOCAO HIDRATANTE CORPORAL JOHNSONS  SOFT LOTION PELE FRESQUINHA 200ML L3P2,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,LOCAO,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS P/ SAUDE LTDA,DEMAIS FAB,JOHNSON & JOHNSON,DEMAIS MARCAS,CONCORRENTES,-,-,KIT,ML,200.0,600.0,201 ACIMA,PROMO,3,DESCONTO,ITENS DPSP,201 ACIMA,,,,,,
410920,3,410920,,NEEDS AG MIC OL 200ML,GERENCIADO,FACE CARE MASSIVO,LIMPEZA PELE,MICELAR,OLEO,NEEDS,DEMAIS FAB,NEEDS,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,200.0,200.0,101 A 200,REGULAR,1,REGULAR,ITENS RAIA,101 A 200,,,,,,
424170,3,424170,424170.0,KIT SABONETE BARRA NEUTROGENA DEEP CLEAN 80G LEVE 3 PAGUE 2,GERENCIADO,FACE CARE MASSIVO,LIMPEZA PELE,LIMPEZA OUTROS,BARRA,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS P/ SAUDE LTDA,DEMAIS FAB,NEUTROGENA,DEMAIS MARCAS,CONCORRENTES,-,-,KIT,G,80.0,240.0,201 ACIMA,PROMO,3,KIT,ITENS DPSP,201 ACIMA,,,,,,
480150,3,480150,480150.0,LOCAO DEMAQUILANTE  NEUTROGENA 200ML,GERENCIADO,FACE CARE MASSIVO,LIMPEZA PELE,LIMPEZA OUTROS,LOCAO,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS P/ SAUDE LTDA,DEMAIS FAB,NEUTROGENA,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,200.0,200.0,101 A 200,REGULAR,1,REGULAR,ITENS DPSP,101 A 200,,,,,,
508152,3,508152,508152.0,KIT PROTETOR SOLAR SUN FRESH FPS30 120ML GRATIS LENCO DEMAQUILANTE 7UNIDADES,NAO GERENCIADO,BODY CARE DERMATO,SOLAR,SOLAR,CREME,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS P/ SAUDE LTDA,DEMAIS FAB,NEUTROGENA,DEMAIS MARCAS,CONCORRENTES,-,-,KIT,ML,120.0,120.0,101 A 200,REGULAR,1,REGULAR,ITENS DPSP,101 A 200,,,,,,
518115,3,518115,,FITA ADESIVA PARA CRAVOS RICCA 3UN,GERENCIADO,FACE CARE MASSIVO,MASCARA,TECIDO,-,BELLIZ COMPANY,DEMAIS FAB,RICCA,DEMAIS MARCAS,CONCORRENTES,-,-,CAIXA,-,,,-,REGULAR,3,REGULAR,ITENS DPSP,-,,,,,,
523143,3,523143,,LOCAO HIDRATANTE CORPORAL MONANGE INTENSIVA PELE  EXTRA SECA 200ML,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,CREME,COTY BRASIL COMERCIO LTDA,DEMAIS FAB,MONANGE,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,200.0,200.0,101 A 200,REGULAR,1,REGULAR,ITENS DPSP,101 A 200,,,,,,
548039,3,548039,,BEPANTOL DERMA:1336537,GERENCIADO,FACE CARE MASSIVO,HIDRATACAO,HIDRATACAO ROSTO,LIQUIDO,BAYER CONSUMER ES NM ,DEMAIS FAB,BEPANTOL,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,20.0,20.0,ATE 50,REGULAR,1,REGULAR,ITENS RAIA,ATE 50,,,,,,
552321,3,552321,552321.0,PROTETOR SOLAR NEUTROGENA SUN FRESH MOUSSE FPS30 200ML,NAO GERENCIADO,BODY CARE DERMATO,SOLAR,SOLAR,-,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS P/ SAUDE LTDA,DEMAIS FAB,NEUTROGENA,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,200.0,200.0,101 A 200,REGULAR,1,REGULAR,ITENS DPSP,101 A 200,,,,,,
557617,3,557617,,CREME HIDRATANTE CORPORAL WELEDA SKIN FOOD 30ML,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,CREME,WELEDA DO BRASIL LABORATORIO FARMACIA LTDA,DEMAIS FAB,WELEDA,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,30.0,30.0,ATE 50,REGULAR,1,REGULAR,ITENS DPSP,ATE 50,,,,,,
635251,3,635251,,CREME PARA PERNAS GOICOECHEA MANTEIGA KARITE E JASMIM 200G,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,CREME,GENOMMA LABORATORIES DO BRASIL LTDA  ,DEMAIS FAB,GOICOECHEA,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,G,200.0,200.0,101 A 200,REGULAR,1,REGULAR,ITENS DPSP,101 A 200,,,,,,
642088,3,642088,642088.0,PROTETOR SOLAR NEUTROGENA SUNFRESH RADIANCE FPS 60 200ML,NAO GERENCIADO,BODY CARE DERMATO,SOLAR,SOLAR,-,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS P/ SAUDE LTDA,DEMAIS FAB,NEUTROGENA,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,200.0,200.0,101 A 200,REGULAR,1,REGULAR,ITENS DPSP,101 A 200,,,,,,
666939,3,666939,666939.0,KIT PROTETOR SOLAR CORPO NEUTROGENA SUNFRESH FPS50 GTS FACIAL FPS30 50GR,NAO GERENCIADO,BODY CARE DERMATO,SOLAR,SOLAR,-,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS P/ SAUDE LTDA,DEMAIS FAB,NEUTROGENA,DEMAIS MARCAS,CONCORRENTES,-,-,KIT,G,50.0,50.0,ATE 50,REGULAR,1,REGULAR,ITENS DPSP,ATE 50,,,,,,
685879,3,685879,685879.0,KIT PROTETOR SOLAR CORPORAL NEUTROGENA FPS50 200ML GTS BODY CARE INTENSIVE NTG  200ML,NAO GERENCIADO,BODY CARE DERMATO,SOLAR,SOLAR,-,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS P/ SAUDE LTDA,DEMAIS FAB,NEUTROGENA,DEMAIS MARCAS,CONCORRENTES,-,-,KIT,ML,200.0,400.0,201 ACIMA,PROMO,2,DESCONTO,ITENS DPSP,201 ACIMA,,,,,,
688142,3,688142,,CREME PARA PERNAS GOICOECHEA OLEO DE AMENDOAS E CHA BRANCO 200GR,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,CREME,GENOMMA LABORATORIES DO BRASIL LTDA  ,DEMAIS FAB,GOICOECHEA,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,G,200.0,200.0,101 A 200,REGULAR,1,REGULAR,ITENS DPSP,101 A 200,,,,,,
693111,3,693111,693111.0,PROTETOR SOLAR CORPORAL NEUTROGENA SUN FRESH FPS90 120ML,NAO GERENCIADO,BODY CARE DERMATO,SOLAR,SOLAR,CREME,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS P/ SAUDE LTDA,DEMAIS FAB,NEUTROGENA,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,120.0,120.0,101 A 200,REGULAR,1,REGULAR,ITENS DPSP,101 A 200,,,,,,
743798,3,743798,743798.0,PROTETOR SOLAR FACIAL NEUTROGENA SUN FRESH DERM CARE FPS70 COM COR 40GR,NAO GERENCIADO,BODY CARE DERMATO,SOLAR,SOLAR,CREME,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS P/ SAUDE LTDA,DEMAIS FAB,NEUTROGENA,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,G,40.0,40.0,ATE 50,REGULAR,1,REGULAR,ITENS DPSP,ATE 50,,,,,,
767606,3,767606,,PROALOE KIT SABONETE LIQUIDO 250ML + AROMA 100ML LAVANDE DE PROVENCE 350 ML x 1,GERENCIADO,BODY CARE MASSIVO,LIMPEZA PELE,LIMPEZA OUTROS,LIQUIDO,PROALOE,DEMAIS FAB,PROALOE,DEMAIS MARCAS,CONCORRENTES,-,-,KIT,ML,250.0,350.0,201 ACIMA,PROMO,2,KIT,ITENS IQVIA,201 ACIMA,,,,,,
798282,3,798282,,SABONETE GEL NIVEA LIMPEZA PROFUNDA FACIAL ACNE CONTROL 150GR,GERENCIADO,FACE CARE MASSIVO,ACNE,ACNE LIMPEZA,GEL,BEIERSDORF,DEMAIS FAB,NIVEA,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,G,150.0,150.0,101 A 200,REGULAR,1,REGULAR,ITENS DPSP,101 A 200,,,,,,
9885610,3,9885610,,LENCO NEUTROGENA DEMAQ DEEP CLEAN 25UN,GERENCIADO,FACE CARE MASSIVO,LIMPEZA PELE,LIMPEZA OUTROS,LENCO,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS P/ SAUDE LTDA,DEMAIS FAB,NEUTROGENA,DEMAIS MARCAS,CONCORRENTES,-,-,BAG,-,,,-,REGULAR,1,REGULAR,ITENS PROFARMA,-,,,,,,
10000161,3,10000161,,SERUM FACIAL ANTIOXIDANTE VITAMINA C10 30ML,GERENCIADO,FACE CARE MASSIVO,ANTI IDADE,ANTIRRUGAS,SERUM,MULTI B DISTRIBUIDORA DE PRODUTOS DE BELEZA LTDA,DEMAIS FAB,VULT,DEMAIS MARCAS,CONCORRENTES,-,-,-,ML,30.0,30.0,ATE 50,REGULAR,1,REGULAR,ITENS DPSP,ATE 50,,,,,,
10000178,3,10000178,,HIDRATANTE UNIFORMIZADOR FACIAL VULT POTE 100G ,GERENCIADO,FACE CARE MASSIVO,HIDRATACAO,HIDRATACAO ROSTO,CREME,MULTI B DISTRIBUIDORA DE PRODUTOS DE BELEZA LTDA,DEMAIS FAB,VULT,DEMAIS MARCAS,CONCORRENTES,-,-,-,G,100.0,100.0,81 A 100,REGULAR,1,REGULAR,ITENS DPSP,81 A 100,,,,,,
10000186,3,10000186,,HIDRATANTE REFRESCANTE FACIAL VULT POTE 100G ,GERENCIADO,FACE CARE MASSIVO,HIDRATACAO,HIDRATACAO ROSTO,CREME,MULTI B DISTRIBUIDORA DE PRODUTOS DE BELEZA LTDA,DEMAIS FAB,VULT,DEMAIS MARCAS,CONCORRENTES,-,-,-,G,100.0,100.0,81 A 100,REGULAR,1,REGULAR,ITENS DPSP,81 A 100,,,,,,
20753962,3,20753962,,DESAT-SAB GRANADO TRAT SULFUROSO 9,GERENCIADO,FACE CARE MASSIVO,ACNE,ACNE SABONETE,BARRA,PONTELAND DISTRIBUICAO SA  ,DEMAIS FAB,GRANADO,DEMAIS MARCAS,CONCORRENTES,-,-,BARRA,G,90.0,90.0,81 A 100,REGULAR,1,REGULAR,ITENS FARMA PAGUE MENOS,81 A 100,,,,,,
20817794,3,20817794,,DESAT-ROZEX GEL 30G,GERENCIADO,FACE CARE DERMO,ROSACEA,ROSACEA,GEL,GALDERMA,DEMAIS FAB,GALDERMA,DEMAIS MARCAS,CONCORRENTES,-,-,CAIXA,G,30.0,30.0,ATE 50,REGULAR,1,REGULAR,ITENS PAGUE MENOS,ATE 50,,,,,,
24347525,3,24347525,,DESAT-DERMOTIVIN SALIX SAB LIQ 70M,GERENCIADO,FACE CARE DERMO,LIMPEZA PELE,LIMPEZA OUTROS,LIQUIDO,GALDERMA,DEMAIS FAB,DERMOTIVIN,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,G,70.0,70.0,51 A 80,REGULAR,1,REGULAR,ITENS PAGUE MENOS,51 A 80,,,,,,
25373066,3,25373066,,DESAT-LIFTACTIV VICHY AOX CONCENT,GERENCIADO,FACE CARE DERMO,ANTI IDADE,ANTIRRUGAS,SERUM,L'OREAL BRASIL COMERCIAL DE COSMETICOS LTDA,LOREAL,VICHY,VICHY,DCA,-,-,CONTA GOTAS,ML,10.0,10.0,ATE 50,REGULAR,1,REGULAR,ITENS PAGUE MENOS,ATE 50,,,,,,
25817553,3,25817553,,MANTEIGA CACAU DAUF FPS15 ROLL 10ML (58175),GERENCIADO,FACE CARE MASSIVO,PROTETOR LABIAL,REPARADOR DE PELE,-,DAUF,DEMAIS FAB,DAUF,DEMAIS MARCAS,CONCORRENTES,-,-,ROLLON,ML,10.0,10.0,ATE 50,REGULAR,1,REGULAR,VAREJISTA,ATE 50,,,,,,
30162990,3,30162990,,LIFTACTIV SPEC PEPTIDE-C AMPOLA/10 (57109),GERENCIADO,FACE CARE DERMO,ANTI IDADE,ANTIRRUGAS,SERUM,L'OREAL BRASIL COMERCIAL DE COSMETICOS LTDA,LOREAL,VICHY,VICHY,DCA,-,-,AMPOLA,ML,2.0,2.0,ATE 50,REGULAR,10,REGULAR,VAREJISTA,ATE 50,,,,,,
40020600,3,40020600,,RICCA FITA ADESIVA PARA RETIRAR CRAVOS x 1,GERENCIADO,FACE CARE MASSIVO,ACNE,ACNE TRATAMENTO,-,BELLIZ COMPANY,DEMAIS FAB,RICCA,DEMAIS MARCAS,CONCORRENTES,-,-,-,-,,,,REGULAR,1,REGULAR,ITENS IQVIA,0,,,,,,
40060736,3,40060736,,CREME CORPORAL NIVEA LATA KIDS 56GR,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,CREME,BEIERSDORF,DEMAIS FAB,NIVEA,DEMAIS MARCAS,CONCORRENTES,-,-,LATA,G,56.0,56.0,51 A 80,REGULAR,1,REGULAR,ITENS DPSP,51 A 80,,,,,,
40063683,3,40063683,,NIVEA HID SOFT VERDE49,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,CREME,BEIERSDORF,DEMAIS FAB,NIVEA,DEMAIS MARCAS,CONCORRENTES,-,-,POTE,G,49.0,49.0,ATE 50,REGULAR,1,REGULAR,ITENS RAIA,ATE 50,,,,,,
40063911,3,40063911,,NIVEA HID SOFT TROP 49,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,CREME,BEIERSDORF,DEMAIS FAB,NIVEA,DEMAIS MARCAS,CONCORRENTES,-,-,POTE,G,49.0,49.0,ATE 50,REGULAR,1,REGULAR,ITENS RAIA,ATE 50,,,,,,
42110200,3,42110200,,CREME HIDRATANTE CORPORAL NIVEA SOFT POTE 49GR,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,CREME,BEIERSDORF,DEMAIS FAB,NIVEA,DEMAIS MARCAS,CONCORRENTES,-,-,LATA,G,49.0,49.0,ATE 50,REGULAR,1,REGULAR,ITENS DPSP,ATE 50,,,,,,
42176763,3,42176763,,ESFOL NIVEA VISAGE GEL 75ML (17260),GERENCIADO,FACE CARE MASSIVO,LIMPEZA PELE,LIMPEZA OUTROS,GEL,BEIERSDORF,DEMAIS FAB,NIVEA,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,75.0,75.0,51 A 80,REGULAR,1,REGULAR,VAREJISTA,51 A 80,,,,,,
42231479,3,42231479,,NIVEA VISAGE GEL ESFOLIANTE REFRESCANTE 75 ML x 1,GERENCIADO,FACE CARE MASSIVO,LIMPEZA PELE,LIMPEZA OUTROS,GEL,BEIERSDORF,DEMAIS FAB,NIVEA,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,ML,75.0,75.0,51 A 80,REGULAR,1,REGULAR,IQVIA SKU,51 A 80,,,,,,
42277217,3,42277217,,CREME HIDRATANTE CORPORAL NIVEA LATA 29GR,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,CREME,BEIERSDORF,DEMAIS FAB,NIVEA,DEMAIS MARCAS,CONCORRENTES,-,-,LATA,G,29.0,29.0,ATE 50,REGULAR,1,REGULAR,ITENS DPSP,ATE 50,,,,,,
42355014,3,42355014,,AG MICEL NIVEA AIR EXPERT BIF 125ML (53359),GERENCIADO,FACE CARE MASSIVO,LIMPEZA PELE,MICELAR,SERUM,BEIERSDORF,DEMAIS FAB,NIVEA,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,125.0,125.0,101 A 200,REGULAR,1,REGULAR,VAREJISTA,101 A 200,,,,,,
42355465,3,42355465,,NIVEA MEN CR HID 30G,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,CREME,BEIERSDORF,DEMAIS FAB,NIVEA,DEMAIS MARCAS,CONCORRENTES,-,-,POTE,G,30.0,30.0,ATE 50,REGULAR,1,REGULAR,ITENS RAIA,ATE 50,,,,,,
42360407,3,42360407,,CR FACIAL NIVEA NUTRITIVO 100G (52214),GERENCIADO,FACE CARE MASSIVO,HIDRATACAO,HIDRATACAO ROSTO,CREME,BEIERSDORF,DEMAIS FAB,NIVEA,DEMAIS MARCAS,CONCORRENTES,-,-,POTE,G,100.0,100.0,81 A 100,REGULAR,1,REGULAR,VAREJISTA,81 A 100,,,,,,
42360414,3,42360414,,CR FACIAL NIVEA ANTISSIN VITE100G (52215),GERENCIADO,FACE CARE MASSIVO,ANTI IDADE,ANTIRRUGAS,CREME,BEIERSDORF,DEMAIS FAB,NIVEA,DEMAIS MARCAS,CONCORRENTES,-,-,POTE,G,100.0,100.0,81 A 100,REGULAR,1,REGULAR,VAREJISTA,81 A 100,,,,,,
42389248,3,42389248,,CR FACIAL NIVEA NOTURNO 100G (54692),GERENCIADO,FACE CARE MASSIVO,ANTI IDADE,ANTIRRUGAS,CREME,BEIERSDORF,DEMAIS FAB,NIVEA,DEMAIS MARCAS,CONCORRENTES,-,-,POTE,G,100.0,100.0,81 A 100,REGULAR,1,REGULAR,VAREJISTA,81 A 100,,,,,,
42398004,3,42398004,,GEL HIDRAT NIVEA 100G FACIAL,GERENCIADO,FACE CARE MASSIVO,HIDRATACAO,HIDRATACAO ROSTO,CREME,BEIERSDORF,DEMAIS FAB,NIVEA,DEMAIS MARCAS,CONCORRENTES,-,-,POTE,ML,100.0,100.0,81 A 100,REGULAR,1,REGULAR,VAREJISTA,81 A 100,,,,,,
42428831,3,42428831,,HIDRATANTE PARA MAOS NIVEA LUMINOUS ANTIDARK 50GR,GERENCIADO,BODY CARE MASSIVO,HIDRATACAO,HIDRATACAO CORPO,CREME,BEIERSDORF,DEMAIS FAB,NIVEA,DEMAIS MARCAS,CONCORRENTES,-,-,BISNAGA,G,50.0,50.0,ATE 50,REGULAR,1,REGULAR,ITENS DPSP,ATE 50,,,,,,
